ID,Address,Job Number,Job Name,Latitude,Longitude,Radius,Tags,Notes,Type
22233005,"197 HARP CT. Merced, CA 95341, CA, USA",CCSVS2,SOLERA II,37.291284,-120.42629,250,"Central Valley,Silvano Sanchez",CCSVS2,Normal Geofence
22233006,"3919 MITCHELL AVE, Clovis, CA 93619, USA",CCLV00,LOMA VISTA ARROYO,36.814154,-119.646682,250,"Central Valley,Julio Contreras",CCLV00,Normal Geofence
22233007,"7437 E PRINCETON AVE, Fresno, CA 93737, USA",CCLP20,LOCAN POINTE II,36.776149,-119.656635,250,"Central Valley,Julio Contreras",CCLP20,Normal Geofence
22233008,"1602 DODDER DR, Los Banos, CA 93635, USA",DRBS00,BROOKSHIRE,37.049895,-120.880961,250,"Central Valley,Albert Sanchotena",DRBS00,Normal Geofence
22233009,"2288 OWENS CT, Los Banos, CA",DRSP00,SOUTHPOINTE,37.058279,-120.849915,250,"Central Valley,Albert Sanchotena",DRSP00,Normal Geofence
22233010,"273 SULLIVAN DR, Merced, CA 95348, USA",DRPM20,PANORAMA II,37.345642,-120.472113,250,"Central Valley,Silvano Sanchez",DRPM20,Normal Geofence
22233011,"295 WHITE RIM CT, Merced, CA",DRSS00,STONERIDGE SOUTH,37.302163,-120.482968,250,"Central Valley,Silvano Sanchez",DRSS00,Normal Geofence
22233012,"703 SUNOL CT, Merced, CA 95348, USA",DRMR00,MONTERRA,37.347451,-120.480091,250,"Central Valley,Silvano Sanchez",DRMR00,Normal Geofence
22233013,"905 E CAMERON AVE, Visalia, CA 93277, USA",DRDO00,DIAMOND OAKS,36.293867,-119.287909,250,"Central Valley,Julio Garcia",DRDO00,Normal Geofence
22233015,"1415 THOMAS ST, Los Banos, CA",DRSH00,SHAUNESSY,37.058279,-120.849915,250,"Central Valley,Albert Sanchotena",DRSH00,Normal Geofence
22233016,"2116 EUREKA CT, Atwater, CA 95301, USA",DRBC00,BELL CROSSING,37.348793,-120.624575,250,"Central Valley,Andres Rodriguez",DRBC00,Normal Geofence
22233017,"10321 MONAHAN ST, Bakerfield, CA",DRBL00,BELLA SERA,35.294992,-119.11671,250,"Central Valley,Julio Garcia",DRBL00,Normal Geofence
22233020,"5212 N. Maroa Ave, Fresno, CA 93704, USA",GH6290,TRACT 6290,36.812297,-119.799101,250,Central Valley,GH6290,Normal Geofence
22233021,"478 E Childs Ave, Merced, CA 95341, USA",HCCA00,CHILDS AVE. APT.,37.287664,-120.472913,250,"Central Valley,Albert Sanchotena",HCCA00,Normal Geofence
22233022,"1048 S. PROSPERITY S, Mountain House, CA 95391, USA",KVMV00,MEADOWVIEW,37.747729,-121.541387,250,"Central Valley,Andres Rodriguez",KVMV00,Normal Geofence
22233023,"915 S FILBERT AVE, Fresno, CA 93727, USA",KVIP00,INSPIRADO,36.724625,-119.672365,250,"Central Valley,Julio Garcia",KVIP00,Normal Geofence
22233024,"4234 FREEMARK AVE, Merced, CA 95348, USA",KVAB20,ASPIRE BELLEVUE II,37.343954,-120.482519,250,"Central Valley,Silvano Sanchez",KVAB20,Normal Geofence
22233025,"1718 STEPHANIE ST, Manteca, CA 95337, USA",KBSD00,SUNDANCE,37.776122,-121.24315,250,"Central Valley,Andres Rodriguez",KBSD00,Normal Geofence
22233026,"3590 TAOS WAY, Madera, CA",KBFLC0,FIELDING COTTAGES,36.961336,-120.060718,250,"Central Valley,Albert Sanchotena",KBFLC0,Normal Geofence
22233027,"928 S CLOVER AVE, Fresno, CA 93727, USA",KBLG00,LAUREL GROVE,36.723588,-119.665097,250,"Central Valley,Julio Garcia",KBLG00,Normal Geofence
22233028,"2037 N REDDA RD, Fresno, CA  93737, USA",KBSE00,SEVILLE,36.779927,-119.661428,250,"Central Valley,Julio Contreras",KBSE00,Normal Geofence
22233029,"2447 EXPLORADOR DR, Merced, CA 95340, USA",LEMSU0,MORAGA SUMMER,37.331841,-120.438486,250,"Central Valley,Andres Rodriguez",LEMSU0,Normal Geofence
22233030,"124 SENTINEL DR. SOU, Madera, CA 93636, USA",LERSC0,CORONET @ RIVERSTON,36.920815,-119.806845,250,"Central Valley,Julio Contreras",LERSC0,Normal Geofence
22233031,"10308 MONARCH DR, Bakersfield, CA 93306, USA",LGJG00,JULIANAS GARDENS,35.401953,-118.88918,250,"Central Valley,Julio Garcia",LGJG00,Normal Geofence
22233032,"4259 W. BULLARD AVE, Fresno, CA 93722, USA",SEBA00,BULLARD-FIGARDEN APT,36.822464,-119.867897,250,Central Valley,SEBA00,Normal Geofence
22233034,"1250 sawtooth dr, Hollister, CA 95023, USA",TMCV00,CERRO VERDE,36.845822,-121.378217,250,"Central Valley,Albert Sanchotena",TMCV00,Normal Geofence
22233035,"2088 GREENBRIAR DR, Lose Banos, CA 93635, USA",UCSN00,SUNRISE RANCH,37.0661,-120.822626,250,"Central Valley,Albert Sanchotena",UCSN00,Normal Geofence
